schcd,schname,school_cat,management,rururb,dtname,longitude,latitude
29180101501,Glps Bandrehalli,Primary,Department of Education,1,Tumakuru,76.463,13.475
29180932802,Glps Kollapura,Primary,Department of Education,1,Tumakuru,77.097,13.475
29290521512,Glps Mylaganahalli (Thondebavi),Primary,Department of Education,1,Chikkaballapura,77.446,13.475
29290511601,Glps Kambalahalli (Bevinahalli,Primary,Department of Education,1,Chikkaballapura,77.499,13.475
29290515601,Glps Mindenahalli,Primary,Department of Education,1,Chikkaballapura,77.533,13.475
29290447601,Glps Kasaba Gollahalli,Primary,Department of Education,1,Chikkaballapura,78.047,13.475
29290417301,Ghps K Raguttahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,78.0556,13.47519
29230330001,Hps Valehally,Primary with Upper Primary,Department of Education,1,Hassan,76.259307,13.475195
29290417303,Government High School K Raguttahalli,Secondary Only,Department of Education,1,Chikkaballapura,78.05665,13.47529
29170103002,Glps Sinduvalli,Primary,Department of Education,1,Chikkamangaluru,75.273333,13.475556
29290417302,S L N Vidya Samsthe,Primary with Upper Primary,Government Aided,1,Chikkaballapura,78.05614,13.47578
29310315501,Glps  Obaladevarahalli,Primary,Department of Education,1,Tumakuru Madhugiri,77.349722,13.475833
29290445701,Glps Dinnamindahally,Primary,Department of Education,1,Chikkaballapura,78.146389,13.475833
29160505902,Ghps Kodikanyana - Kodi,Primary with Upper Primary,Department of Education,1,Udupi,74.692,13.476
29160502501,Ghps(N.P.S.A.S.M)  Naduru,Primary with Upper Primary,Department of Education,1,Udupi,74.791,13.476
29170205701,Ghps H Hosuru,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,75.401,13.476
29170519601,Ghps Banjenahalli,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.052,13.476
29170525301,Ghps Kundur,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.212,13.476
29180227001,Ghps Yakkalakatte,Primary with Upper Primary,Department of Education,1,Tumakuru,76.779,13.476
29180221603,Glps Hucharangappanahatti,Primary,Department of Education,1,Tumakuru,76.915,13.476
29310305602,Glps  G.N.Gollarahatti,Primary,Department of Education,1,Tumakuru Madhugiri,77.227,13.476
29310304001,Glps  Gaddobanahalli,Primary,Department of Education,1,Tumakuru Madhugiri,77.305,13.476
29291114401,Government Higher Primary School Kannappanahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.891,13.476
29191221001,Ghps Marimakalapalli,Primary with Upper Primary,Department of Education,1,Kolar,78.307,13.476
29200424004,New Oxford School Doddathimmasandra,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized),1,Bengaluru U South,78.339,13.476
29130312506,Sri Basaveswara Rural High School K R Halli,Secondary Only,Government Aided,1,Chitradurga,76.158889,13.476111
29120901723,Gmhps S.N.Pet,Primary with Upper Primary,Department of Education,2,Ballari,76.213329,13.47637
29170102701,Ghps.  Nallur,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,75.211944,13.476389
29290313102,Glps Hariharapura,Primary,Department of Education,1,Chikkaballapura,77.724722,13.476389
29290434201,Glps Thummalapalli,Primary,Department of Education,1,Chikkaballapura,78.173333,13.476389
29180914502,Sbr Hs Gantiganahalli,Secondary Only,Government Aided,1,Tumakuru,76.989139,13.476531
29290435301,Glps Veerapalli,Primary,Department of Education,1,Chikkaballapura,78.068611,13.476667
29230316502,Ghps  Garudanagiri,Primary with Upper Primary,Department of Education,1,Hassan,76.235016,13.476868
29290439201,Glps Palenahalli,Primary,Department of Education,1,Chikkaballapura,78.32,13.476944
29160504201,Glps Marali  576234,Primary,Department of Education,1,Udupi,74.884,13.477
29160504202,Glps Siddanayakanamane 576234,Primary,Department of Education,1,Udupi,74.915,13.477
29170515501,Ghps Hm Halli,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.129,13.477
29170522102,Glps Keresanthe,Primary,Department of Education,1,Chikkamangaluru,76.13,13.477
29180101401,Glps Bhimasandra,Primary,Department of Education,1,Tumakuru,76.441,13.477
29230517601,Govt.Lower Primary School Yachenahally,Primary,Department of Education,1,Hassan,76.65,13.477
29230537503,Govt.High School Juttnahally,Secondary Only,Department of Education,1,Hassan,76.943,13.477
29180932801,Glps Ganganala,Primary,Department of Education,1,Tumakuru,77.109,13.477
29310320802,Ghps  Ajjihalli,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.183,13.477
29310304502,Glps Urdu  Madavara,Primary,Department of Education,1,Tumakuru Madhugiri,77.268,13.477
29310304501,Glps  Madavara,Primary,Department of Education,1,Tumakuru Madhugiri,77.268,13.477
29191220201,Glps Mancheneelakote,Primary,Department of Education,1,Kolar,78.296,13.477
29180225901,Glps Jogihalli(Manchaladore),Primary,Department of Education,1,Tumakuru,76.85,13.4775
29170801501,Ghps Alaghatta,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.16667,13.477778
29290316001,Ghps Marasanahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.748889,13.477778
29180709401,Glps D.N.Pura Kaval,Primary,Department of Education,1,Tumakuru,76.745556,13.47778
29180709202,Glps Dananayakanapura,Primary,Department of Education,1,Tumakuru,76.754167,13.47778
29170601802,Ghps  Thogarihankal,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,75.805,13.478
29170520109,Ghs  Kuppalu,Secondary Only,Department of Education,1,Chikkamangaluru,76.102,13.478
29170520110,Glps Urdu Kuppalu,Primary,Department of Education,1,Chikkamangaluru,76.102,13.478
29230537701,Govt.Higher Primary School Parama,Primary with Upper Primary,Department of Education,1,Hassan,76.84,13.478
29180911901,Glps Amruthagiri,Primary,Department of Education,1,Tumakuru,77.141,13.478
